"rollno","sname","gender","college","marks1","marks2"
"F-1","Student&1","M","SRCC",53,62
"F-2","Student&2","M","FMS",72,40
"F-3","Student&3","M","FMS",63,58
"F-4","Student&4","M","SRCC",65,66
"F-5","Student&5","F","SRCC",57,48
"F-6","Student&6","M","SRCC",62,54
"F-7","Student&7","M","SRCC",80,53
"F-8","Student&8","M","IIM",70,62
"F-9","Student&9","M","SRCC",57,85
"F-10","Student&10","M","SRCC",50,39
"F-11","Student&11","M","SRCC",57,66
"F-12","Student&12","M","FMS",58,63
"F-13","Student&13","M","SRCC",61,35
"F-14","Student&14","F","SRCC",61,51
"F-15","Student&15","M","SRCC",64,60
"F-16","Student&16","F","IIM",67,61
"F-17","Student&17","M","IIM",81,70
"F-18","Student&18","M","IIM",55,68
"F-19","Student&19","M","IIM",49,58
"F-20","Student&20","M","SRCC",56,68
"F-21","Student&21","M","SRCC",55,68
"F-22","Student&22","M","FMS",63,84
"F-23","Student&23","M","SRCC",55,23
"F-24","Student&24","M","FMS",68,70
"F-25","Student&25","M","SRCC",50,72
"F-26","Student&26","F","SRCC",61,47
"F-27","Student&27","M","IIM",48,59
"F-28","Student&28","F","SRCC",66,49
"F-29","Student&29","F","IIM",44,52
"F-30","Student&30","M","IIM",57,53
